ax,ay,az,gx,gy,gz,magnitude,whip,timestamp
-0.414,-0.089,-0.909,133.728,-41.504,56.946,1.003,-3.18,1773811345175
-0.254,0.188,-1.120,135.010,-41.260,67.871,1.164,-2.02,1773811345205
-0.180,-0.236,-1.102,51.392,1.709,104.126,1.141,-1.89,1773811345268
-0.021,-0.102,-1.234,81.482,2.258,116.455,1.238,-0.21,1773811345295
-0.101,0.390,-1.294,43.030,-2.319,116.028,1.355,1.84,1773811345325
-0.277,-0.051,-0.972,26.489,2.014,112.549,1.012,0.09,1773811345390
-0.265,0.232,-1.028,5.493,32.471,95.703,1.087,-0.77,1773811345444
-0.109,-0.202,-1.510,34.302,28.137,97.473,1.528,3.87,1773811345473
-0.089,-0.008,-1.065,76.660,30.762,106.506,1.068,-1.70,1773811345507
-0.042,0.025,-0.906,112.244,44.067,114.624,0.907,-4.47,1773811345534
-0.027,0.011,-1.141,122.437,37.476,119.141,1.142,1.30,1773811345564
-0.084,0.104,-0.994,101.440,28.931,122.864,1.003,-0.84,1773811345655
-0.138,0.165,-1.088,104.187,22.583,116.882,1.109,-4.19,1773811345657
-0.125,0.080,-1.125,106.995,17.151,113.098,1.135,0.66,1773811345685
-0.227,0.110,-1.087,100.159,7.141,109.070,1.116,2.09,1773811345746
-0.237,0.006,-1.103,99.915,-4.517,106.506,1.128,-0.14,1773811345775
-0.243,0.047,-1.005,97.717,-15.076,107.056,1.035,0.32,1773811345807
-0.290,0.028,-0.972,71.777,-22.705,109.375,1.015,-0.94,1773811345865
-0.245,0.035,-0.878,49.500,-29.053,117.187,0.912,-2.22,1773811345895
-0.241,0.128,-0.792,83.435,-42.114,127.808,0.838,-2.78,1773811345925
-0.156,0.142,-0.758,68.359,-46.753,140.991,0.787,-3.41,1773811345992
-0.186,0.080,-0.731,53.528,-51.636,145.386,0.758,-2.76,1773811346014
-0.201,-0.014,-0.717,73.547,-69.397,153.442,0.745,-2.70,1773811346045
-0.218,0.035,-0.701,78.247,-77.148,149.109,0.735,-1.77,1773811346104
-0.272,0.016,-0.680,60.364,-74.280,134.766,0.733,-1.05,1773811346134
-0.393,-0.094,-0.749,67.993,-78.674,123.413,0.851,0.64,1773811346168
-0.422,-0.088,-0.745,49.988,-80.322,113.159,0.861,1.02,1773811346227
-0.492,-0.154,-0.832,27.161,-80.078,110.535,0.979,2.34,1773811346256
-0.478,-0.144,-0.856,-8.789,-74.768,104.370,0.991,2.56,1773811346284
-0.490,-0.210,-0.919,0.427,-78.308,105.225,1.063,3.30,1773811346346
-0.443,-0.254,-0.989,-20.752,-77.515,108.887,1.113,2.62,1773811346374
-0.331,-0.330,-1.004,-70.129,-69.214,115.051,1.107,2.47,1773811346405
-0.200,-0.457,-0.954,-106.934,-56.641,118.408,1.076,0.98,1773811346471
0.051,-0.663,-0.932,-102.356,-51.636,132.324,1.145,1.55,1773811346494
0.448,-0.810,-0.923,-158.936,-30.701,146.118,1.308,2.45,1773811346525
0.811,-1.007,-0.826,-119.751,-31.799,152.771,1.534,4.21,1773811346614
2.085,-0.971,-0.659,-72.815,-85.754,46.082,2.392,12.85,1773811346675
2.649,-0.972,-0.665,59.265,-175.476,-106.628,2.899,18.23,1773811346706
3.241,-0.837,-0.803,117.676,-287.598,-373.413,3.443,22.97,1773811346734
4.000,-0.627,-1.332,159.973,-416.199,-821.167,4.262,29.55,1773811346795
3.993,-0.703,-2.112,329.834,-418.152,-1072.083,4.571,30.37,1773811346824
4.000,-1.445,-1.828,504.578,-184.509,-1197.693,4.629,22.37,1773811346857
4.000,-1.338,-1.437,595.398,246.521,-964.294,4.456,15.57,1773811346917
3.314,-1.100,-1.261,316.162,375.854,-673.035,3.712,2.70,1773811346947
2.153,-0.794,-0.676,115.845,346.069,-480.347,2.392,-18.70,1773811346975
1.574,-0.608,-0.580,99.426,290.344,-356.384,1.784,-27.87,1773811347038
1.277,-0.333,-0.474,121.521,247.253,-261.414,1.402,-32.27,1773811347064
1.047,-0.168,-0.398,57.251,224.426,-203.430,1.133,-33.23,1773811347104
0.848,-0.083,-0.321,49.561,189.880,-157.898,0.911,-28.02,1773811347156
