ax,ay,az,gx,gy,gz,magnitude,timestamp
-1.012,0.181,-0.044,-10.010,-47.974,-34.485,1.029,1773724751776
-0.966,0.101,-0.074,-26.367,-12.451,-83.862,0.974,1773724751810
-0.950,0.040,-0.105,-28.687,8.423,-94.116,0.956,1773724751834
-0.912,-0.008,-0.141,-45.349,24.475,-81.604,0.923,1773724751899
-0.964,-0.035,-0.137,-37.476,5.981,-52.185,0.974,1773724751926
-1.049,-0.034,-0.117,-26.001,-0.366,-20.325,1.056,1773724751957
-0.907,-0.031,-0.141,-40.039,26.978,49.011,0.919,1773724752019
-1.037,0.058,-0.150,-43.274,40.222,77.759,1.050,1773724752044
-1.115,0.078,-0.178,-92.346,97.717,86.243,1.132,1773724752077
-0.775,0.076,-0.287,-56.824,69.031,94.727,0.830,1773724752139
-1.082,0.148,-0.236,-55.054,49.194,68.359,1.118,1773724752167
-1.040,0.119,-0.261,-108.887,41.382,8.972,1.079,1773724752196
-1.041,0.111,-0.263,-140.198,11.230,37.720,1.079,1773724752260
-1.178,0.120,-0.234,-167.603,-7.812,13.611,1.208,1773724752286
-1.060,0.046,-0.190,-202.820,-28.137,42.969,1.078,1773724752316
-1.109,0.125,-0.133,-227.051,-69.153,96.252,1.124,1773724752378
-1.070,0.157,-0.095,-203.064,-132.385,85.632,1.086,1773724752405
-1.076,0.192,-0.045,-213.867,-179.871,115.845,1.094,1773724752436
-1.119,0.243,0.003,-184.998,-230.469,86.548,1.145,1773724752496
-1.233,0.278,0.069,-128.967,-302.734,6.348,1.266,1773724752526
-1.358,0.253,0.149,-79.529,-347.229,-95.154,1.389,1773724752560
-1.729,0.227,0.232,-32.104,-340.088,-210.449,1.759,1773724752645
-2.102,-0.035,0.305,78.125,-222.412,-328.735,2.124,1773724752710
-1.526,-0.267,0.308,158.081,-94.788,-136.292,1.580,1773724752736
-1.896,-0.166,0.192,212.280,132.751,429.321,1.913,1773724752767
-3.567,0.263,0.096,307.739,164.246,866.028,3.578,1773724752826
-4.000,0.584,0.161,340.576,129.883,1135.681,4.046,1773724752857
-4.000,0.759,0.158,-6.165,374.939,1187.378,4.074,1773724752886
-4.000,0.746,0.093,-46.265,537.231,1013.611,4.070,1773724752950
-4.000,0.754,-0.031,-86.914,677.185,708.374,4.070,1773724752977
-3.146,0.760,-0.237,-154.297,727.905,362.488,3.245,1773724753006
-2.318,0.622,-0.421,-223.450,669.678,-38.330,2.436,1773724753069
-1.893,0.376,-0.554,-300.415,483.154,-330.627,2.008,1773724753097
